START JOB HllUpdateSpeedProfile
Date Time: 2025/02/13 18:36:30 PST
InU	Trials	nS/Set
1	16777216	12.292711615562439
2	16777216	5.0028195977211
3	16777216	7.962050617116539
4	16777216	7.8942790776491165
5	16777216	8.60909193957496
6	16777216	9.028721878654743
7	16777216	9.516784735542087
8	16777216	26.869437128305435
9	16777216	24.965498910037322
10	16777216	23.711268843326604
11	16777216	22.6675105999332
12	16777216	21.846435992004395
13	16777216	21.135990279697978
14	16777216	20.60668918788611
15	16777216	20.179662550919996
16	16777216	19.876744829118252
17	15552804	19.697420797241172
18	14480356	19.57060291020568
19	13534053	19.44690433529539
20	12693529	19.40782275359007
21	11942513	19.405760055912996
22	11267862	19.425127571776223
23	10658843	19.43632481849727
24	10106617	19.440332714106887
25	9603838	29.162678470864172
26	9144357	28.649331385221878
27	8722985	28.10338572777297
28	8335321	27.66368476435355
29	7977602	27.17396839896069
31	7339521	26.613292400888426
32	7053950	26.237218566370615
33	6787775	26.063011592432105
35	6306447	25.54532561900968
36	6088239	25.41607681343817
38	5690368	24.953539755624295
40	5336971	24.742848101470113
41	5174758	24.572955870982188
43	4875670	24.419589027052037
45	4606321	24.23105192017243
47	4362621	24.089920451309634
49	4141186	31.322486128508334
52	3844728	30.36662000831218
54	3667563	29.81170648364569
56	3504570	29.357212715113796
59	3283256	28.763282154246877
61	3149253	28.230287121423565
64	2965820	27.77654481412392
67	2800763	27.25727901183165
70	2651534	26.984012570056272
73	2516032	26.67701856888541
76	2392505	26.436081176935872
79	2279481	26.240809523842653
83	2143000	25.88455734271875
87	2020555	25.674827745030836
91	1910152	25.434587974057845
95	1810153	25.19270882804732
99	1719197	31.70293744079339
103	1636150	31.058476289309404
108	1542020	30.71800355542916
112	1473490	30.89898536564521
117	1395203	29.530708624439978
123	1310655	28.909031532732683
128	1246974	28.416728792059818
134	1177575	27.92617491494685
140	1114833	27.477372370051306
146	1057861	27.153269249668696
152	1005924	26.857860037098853
159	950875	26.42229864745927
166	901020	26.237307203062485
173	855681	26.046948077644036
181	808670	25.761275389303613
189	766112	25.58075833032814
197	727423	31.394433088434635
206	687916	30.723681810117153
215	652111	30.11264535395371
225	616086	29.55791188605796
235	583492	28.975127861662873
245	553875	28.568592920946443
256	524288	28.09945461899042
267	497428	27.6562553731527
279	470830	27.237122980498775
292	444775	26.943363151892342
304	422939	26.629217153483005
318	399793	26.29622232807311
332	378832	25.993800761570267
347	358474	25.878754232298945
362	340004	25.67549113493847
378	322110	25.38945191750153
395	304876	40.40119987358749
412	289233	39.04437094410075
431	273384	37.87198328511635
450	259032	36.9809297178258
470	245328	36.052216208006676
490	232876	35.08614925486588
512	220435	34.31414676165877
535	208654	32.85034408794584
558	197959	31.628924871868605
583	187406	30.896793844220525
609	177459	31.139998340564038
636	168092	31.230276570981832
664	159279	30.52527720549033
693	150991	29.967826680559902
724	142954	29.35163154132763
756	135430	28.800424016868647
790	128184	28.17689039963556
825	121423	27.65622116921944
861	115110	27.16553650493786
899	109061	26.687492704307108
939	103285	26.212832262105426
981	97787	25.7199763800413
1024	92681	25.355963316459817
