START JOB HllUpdateSpeedProfile
Date Time: 2025/02/13 19:12:31 PST
InU	Trials	nS/Set
1	16777216	9.260160863399506
2	16777216	5.643401652574539
3	16777216	4.2623287041346405
4	16777216	4.864364326000214
5	16777216	4.851092136266344
6	16777216	5.679243395517145
7	16777216	5.950857894224344
8	16777216	8.149658717215061
9	16777216	10.09340171711344
10	16777216	10.260743565170392
11	16777216	10.275878272489162
12	16777216	10.34197794341816
13	16777216	10.465362625419163
14	16777216	10.62196978666274
15	16777216	10.817955915281335
16	16777216	11.115470707416534
17	15552804	11.416563110491733
18	14480356	11.737704729627142
19	13534053	12.072809794375102
20	12693529	12.494282220583134
21	11942513	12.916949873322995
22	11267862	13.31491941009001
23	10658843	13.71355476960362
24	10106617	14.142063750962265
25	9603838	15.96046647602653
26	9144357	15.846849613303423
27	8722985	15.7164309743741
28	8335321	15.595816958841171
29	7977602	15.462354583351843
31	7339521	15.378253392136557
32	7053950	15.34699308100426
33	6787775	15.279026350779183
35	6306447	15.274515509826315
36	6088239	15.322375699435526
38	5690368	15.327648941659401
40	5336971	15.32939182169089
41	5174758	15.363683762683817
43	4875670	15.489923865594132
45	4606321	15.500590070910391
47	4362621	15.613268574503522
49	4141186	20.018268196474605
52	3844728	19.52677026447263
54	3667563	19.180831612875156
56	3504570	19.015196107869297
59	3283256	18.78490102517185
61	3149253	18.54492478599426
64	2965820	18.37309891320107
67	2800763	18.264078364100918
70	2651534	18.073499690631035
73	2516032	17.947409885575517
76	2392505	17.879749285845097
79	2279481	17.893738014444356
83	2143000	17.773363565655128
87	2020555	17.710680464317992
91	1910152	17.72545431514324
95	1810153	17.75627704865085
99	1719197	21.67726843911885
103	1636150	21.32038878841141
108	1542020	20.973105641378492
112	1473490	20.756997429656824
117	1395203	20.369288276433746
123	1310655	20.054193786933542
128	1246974	19.831327107912834
134	1177575	19.582922239955202
140	1114833	19.308253978096815
146	1057861	19.11742305191236
152	1005924	19.0238595049495
159	950875	18.908643534999488
166	901020	18.756561880525847
173	855681	18.676789597989437
181	808670	18.59101886614777
189	766112	18.607154784341684
197	727423	22.445052655875198
206	687916	21.978074964775146
215	652111	21.62008914662465
225	616086	21.292787651943478
235	583492	20.941514507555347
245	553875	20.580020888085592
256	524288	20.310493521392345
267	497428	20.12379414541636
279	470830	19.91015014513669
292	444775	19.683959058887382
304	422939	19.531729698540833
318	399793	19.36507166038463
332	378832	19.3403489469826
347	358474	19.204716714722895
362	340004	19.106403151844134
378	322110	19.035985110723416
395	304876	22.78911142293748
412	289233	22.441328201168275
431	273384	21.773419816997897
450	259032	21.066944710384764
470	245328	20.479271996761238
490	232876	19.912994293881162
512	220435	19.334986477377118
535	208654	19.018394293853603
558	197959	18.560924874541815
583	187406	17.97710808440602
609	177459	17.511185853507293
636	168092	17.052054986145645
664	159279	16.593922305532075
693	150991	16.230655109235197
724	142954	15.84329356188131
756	135430	15.476316461344403
790	128184	15.096840607680688
825	121423	14.70391384588647
861	115110	14.43567174194881
899	109061	14.116669489663362
939	103285	13.808935293500479
981	97787	13.530767286783531
1024	92681	13.312427380274814
1069	87830	13.074909572631324
1117	83138	12.842583922713246
1166	78794	12.639346858871772
1218	74612	12.403364461858047
1272	70674	12.212000605845766
1328	66968	12.043052379902422
1387	63427	11.899639866659562
1448	60104	11.726442616867539
1512	56941	11.597372126757286
1579	53937	11.46569372099422
1649	51090	11.37479247136471
1722	48398	11.284979872416045
1798	45854	11.189026648055817
1878	43426	11.097250021789357
1961	41140	11.030462678030588
2048	38967	10.96304932549096
2139	36906	10.851906047804402
2233	34975	10.789539723051295
2332	33129	10.778775877259934
2435	31386	10.745923874820761
2543	29729	10.695995588515173
2656	28156	10.84703030672904
2774	26667	10.747439386279519
2896	25270	10.679441520528734
3025	23931	10.715778275766565
3158	22677	10.764056371350566
3298	21481	10.820707548992916
3444	20348	10.832768509697251
3597	19272	10.811483206971218
3756	18258	10.912335071641103
3922	17297	10.847406899711638
4096	16384	10.961076244711876
4277	15521	11.043552147295898
4467	14701	11.019334204942004
4664	13929	11.0697878711529
4871	13193	11.170887593149637
5087	12496	11.305676349948813
5312	11838	11.238816374850597
5547	11214	11.299418536327543
5793	10622	11.351073515608135
6049	10063	11.373275821409274
6317	9533	11.421935078968225
6597	9029	11.513680767207074
6889	8554	11.497133831969208
7194	8103	11.520467129302148
7512	7676	11.518517167737537
7845	7271	11.473980178641687
8192	6888	11.432242877530442
8555	6525	11.35453085847491
8933	6181	11.30001356699672
9329	5855	11.206052346433749
9742	5547	11.068240281986652
